1, 1 Sam 21, Rom 2
2, 1 Sam 22, Rom 3
3, 1 Sam 23, Rom 4
4, 1 Sam 24, Rom 5
5, 1 Sam 25, Rom 6
6, Rom 7, Mark 9:2-10
7, 1 Sam 26, Rom 8:1-17
8, 1 Sam 27, Rom 8:18-39
9, 1 Sam 28, Rom 9
10, 1 Sam 29, Rom 10
11, 1 Sam 30, Rom 11
12, 1 Sam 31, Rom 12
13, 2 Sam 1, Rom 13
14, 2 Sam 2, Rom 14
15, 2 Sam 3, Luke 1:26-38
16, 2 Sam 4, Rom 15
17, 2 Sam 5, Rom 16
18, 2 Sam 6, Phil 1:1-11
19, 2 Sam 7, Phil 1:12-30
20, 2 Sam 8, Phil 2:1-11
21, 2 Sam 9, Phil 2:12-30
22, 2 Sam 10, Phil 3
23, 2 Sam 11, Phil 4
24, Col 1:1-20, Luke 6:12-16
25, 2 Sam 12, Col 1:21—2:7
26, 2 Sam 13, Col 2:8-19
27, 2 Sam 14, Col 2:20—3:11
28, 2 Sam 15, Col 3:12-25
29, 2 Sam 16, Col 4
30, 2 Sam 17, Philemon
31, 2 Sam 18, Eph 1:1-14
