1, Zech 11, Matt 22:1-33
2, Zech 12, Matt 22:34—23:12
3, Zech 13, Matt 23:13-39
4, Zech 14, Matt 24:1-28
5, Mal 1, Matt 24:29-51
6, Mal 2, Matt 25:1-30
7, Mal 3, Matt 25:31-46
8, Mal 4, Matt 26:1-30
9, 1 Macc 1, Matt 26:31-56
10, 1 Macc 2, Matt 26:57-75
11, 2 Macc 6, Matt 27:1-26
12, 2 Macc 7, Matt 27:27-56
13, 2 Macc 8, Matt 27:57—28:20
14, 2 Macc 10, Mark 1:1-13
15, 1 Macc 7, Mark 1:14-31
16, 1 Macc 9, Mark 1:32-45
17, 1 Macc 13, Mark 2:1-22
18, 1 Macc 14, Mark 2:23—3:12
19, Isa 1, Mark 3:13-34
20, Isa 2, Mark 4:1-34
21, Isa 3, Mark 4:35—5:20
22, Isa 4, Mark 5:21-48
23, Isa 5, Mark 6:1-29
24, Isa 6, Mark 6:30-56
25, Isa 7, Mark 7:1-23
26, Isa 8, Mark 7:24—8:10
27, Isa 9, Mark 8:11-38
28, Isa 10, Mark 9:1-29
29, Isa 11, Mark 9:30-50
30, Isa 12, Mark 10:1-31
31, Isa 13, Mark 10:32-52
