1, Deut 33, Luke 17:20-37
2, Deut 34, Luke 18:1-30
3, Josh 1, Luke 18:31—19:10
4, Josh 2, Luke 19:11-28
5, Josh 3, Luke 19:29-48
6, Josh 4, Luke 20:1-26
7, Josh 5, Luke 20:27—21:4
8, Josh 6, Luke 21:5-38
9, Josh 7, Luke 22:1-38
10, Josh 8, Luke 22:39-53
11, Acts 4:32-37, Luke 22:54-71
12, Josh 9, Luke 23:1-25
13, Josh 10, Luke:23:26-49
14, Josh 14, Luke 23:50—24:12
15, Josh 22, Luke 24:13-53
16, Josh 23, Gal 1
17, Josh 24, Gal 2
18, Judg 1, Gal 3
19, Judg 2, Gal 4
20, Judg 3, Gal 5
21, Judg 4, Gal 6
22, Judg 5, 1 Thess 1
23, Judg 6, 1 Thess 2:1-16
24, 1 Thess 2:17—3:13, Matt 14:1-13
25, Judg 7, 1 Thess 4:1-12
26, Judg 8, 1 Thess 4:13—5:11
27, Judg 9, 1 Thess 5:12-28
28, Judg 10, 2 Thess 1
29, 2 Thess 2, 2 Pet 3:14-18
30, Judg 11, 2 Thess 3
