1, Dan 10, Acts 24:1-23
2, Dan 11, Acts 24:24—25:12
3, Dan 12, Acts 25:13-27
4, Susanna, Acts 26
5, Esth 1, Acts 27
6, Esth 2, Acts 28:1-15
7, Esth 3, Acts 28:16-31
8, Esth 4, Philemon 1
9, Esth 5, 1 Tim 1:1-17
10, Esth 6, 1 Tim 1:18—2:15
11, Esth 7, 1 Tim 3
12, Esth 8, 1 Tim 4
13, Esth 9-10, 1 Tim 5
14, Ezra 1, 1 Tim 6
15, Ezra 3, Titus 1
16, Ezra 4, Titus 2
17, Ezra 5, Titus 3
18, Ezra 6, 2 Tim 1
19, Ezra 7, 2 Tim 2
20, Ezra 8, 2 Tim 3
21, Ezra 9, 2 Tim 4
22, Ezra 10, John 1:1-28
23, Neh 1, John 1:29-51
24, Neh 2, John 2
25, Neh 3, John 3:1-21
26, Neh 4, John 3:22-36
27, Neh 5, John 4:1-26
28, Neh 6, John 4:27-54
29, Neh 8, John 5:1-24
30, Neh 9, John 5:25-47
31, Neh 10, John 6:1-21
